[8, 'off'] [9, 'off'] [10, 'on'] [6, 'on'] [5, 'off'] [2, 'on'] [3, 'off'] [4, 'off'] [11, 'off']	0.913517247484	[1, 4, 0, 2, 5, 1, 1]
[1, 'off'] [3, 'off'] [5, 'off'] [9, 'on'] [10, 'on'] [6, 'off'] [4, 'on'] [11, 'off']	0.922744694428	[0, 4, 0, 1, 5, 1, 1]
[1, 'off'] [3, 'off'] [5, 'off'] [9, 'on'] [10, 'on'] [6, 'on'] [5, 'off'] [2, 'off']	0.922744694428	[1, 2, 0, 3, 4, 0, 1]
[2, 'off'] [3, 'on'] [5, 'off'] [9, 'on'] [10, 'on'] [6, 'off'] [4, 'on'] [11, 'off']	0.922744694428	[2, 2, 0, 3, 4, 1, 0]
[2, 'off'] [3, 'on'] [5, 'off'] [9, 'on'] [10, 'on'] [6, 'on'] [5, 'off'] [2, 'off']	0.922744694428	[2, 2, 0, 4, 2, 0, 2]
[8, 'off'] [9, 'off'] [10, 'on'] [6, 'on'] [5, 'off'] [2, 'on'] [3, 'off'] [4, 'on']	0.922744694428	[3, 2, 0, 3, 4, 0, 1]
[12, 'off'] [10, 'off'] [6, 'on'] [5, 'off'] [2, 'on'] [3, 'off'] [4, 'off'] [11, 'off']	0.922744694428	[4, 2, 0, 4, 2, 0, 2]
[2, 'off'] [3, 'on'] [5, 'off'] [9, 'on'] [10, 'on'] [6, 'off'] [4, 'off']	0.932065347907	[0, 0, 0, 3, 3, 0, 1]
[12, 'off'] [10, 'off'] [6, 'on'] [5, 'off'] [2, 'on'] [3, 'off'] [4, 'on']	0.932065347907	[1, 2, 0, 2, 4, 1, 0]
[12, 'off'] [10, 'off'] [6, 'on'] [5, 'on'] [9, 'on'] [10, 'off'] [11, 'off']	0.932065347907	[3, 0, 0, 3, 3, 0, 1]
[1, 'off'] [3, 'off'] [5, 'off'] [9, 'on'] [10, 'off'] [11, 'off']	0.941480149401	[1, 0, 0, 1, 4, 0, 1]
[2, 'off'] [3, 'on'] [5, 'off'] [9, 'on'] [10, 'off'] [11, 'off']	0.941480149401	[1, 2, 0, 1, 4, 1, 0]
[7, 'off'] [6, 'off'] [5, 'off'] [2, 'on'] [3, 'off'] [4, 'on']	0.941480149401	[1, 2, 0, 2, 3, 0, 1]
[8, 'off'] [9, 'off'] [10, 'on'] [6, 'off'] [4, 'on'] [11, 'off']	0.941480149401	[2, 0, 0, 2, 2, 0, 2]
[8, 'off'] [9, 'off'] [10, 'on'] [6, 'on'] [5, 'on'] [9, 'off']	0.941480149401	[2, 0, 0, 3, 3, 0, 0]
[8, 'off'] [9, 'off'] [10, 'on'] [6, 'off'] [4, 'off']	0.9509900499	[0, 2, 0, 1, 3, 0, 1]
[12, 'off'] [10, 'off'] [6, 'off'] [4, 'on'] [11, 'off']	0.9509900499	[2, 0, 0, 1, 4, 0, 0]
[12, 'off'] [10, 'off'] [6, 'on'] [5, 'off'] [2, 'off']	0.9509900499	[2, 2, 0, 1, 3, 0, 1]
[1, 'off'] [3, 'off'] [5, 'off'] [9, 'off']	0.96059601	[1, 0, 0, 0, 3, 0, 1]
[1, 'off'] [3, 'off'] [5, 'on'] [2, 'off']	0.96059601	[1, 0, 0, 0, 4, 0, 0]
[1, 'off'] [3, 'on'] [4, 'off'] [11, 'off']	0.96059601	[1, 0, 0, 1, 3, 0, 0]
[2, 'off'] [3, 'off'] [4, 'off'] [11, 'off']	0.96059601	[1, 2, 0, 1, 2, 0, 1]
[2, 'off'] [3, 'on'] [5, 'off'] [9, 'off']	0.96059601	[2, 0, 0, 0, 4, 0, 0]
[2, 'off'] [3, 'on'] [5, 'on'] [2, 'off']	0.96059601	[2, 2, 0, 0, 2, 0, 2]
[7, 'off'] [6, 'off'] [5, 'off'] [2, 'off']	0.96059601	[2, 2, 0, 0, 3, 0, 1]
[7, 'off'] [6, 'off'] [5, 'on'] [9, 'off']	0.96059601	[3, 0, 0, 1, 2, 0, 1]
[8, 'off'] [9, 'off'] [10, 'off'] [11, 'off']	0.96059601	[3, 2, 0, 1, 2, 0, 1]
[12, 'off'] [10, 'off'] [6, 'off'] [4, 'off']	0.96059601	[4, 2, 0, 2, 0, 0, 2]
[2, 'off'] [3, 'off'] [4, 'on']	0.970299	[0, 0, 0, 1, 1, 0, 1]
[7, 'off'] [6, 'on'] [4, 'off']	0.970299	[1, 0, 0, 1, 2, 0, 0]
[12, 'off'] [10, 'on'] [11, 'off']	0.970299	[3, 0, 0, 1, 1, 0, 1]
[8, 'off'] [9, 'on']	0.9801	[2, 0, 0, 1, 1, 0, 0]
[1, 'on']	0.99	[0, 0, 1, 1, 0, 0, 0]
[2, 'on']	0.99	[0, 1, 1, 1, 0, 0, 0]
[7, 'on']	0.99	[2, 1, 1, 1, 0, 0, 0]
[8, 'on']	0.99	[4, 0, 0, 0, 0, 1, 0]
[12, 'on']	0.99	[4, 1, 1, 1, 0, 0, 0]
