[8, 'off'] [9, 'off'] [10, 'on'] [6, 'on'] [5, 'off'] [2, 'on'] [3, 'off'] [4, 'off'] [11, 'off']	0.387420489	[1, 4, 0, 2, 5, 1, 1]
[1, 'off'] [3, 'off'] [5, 'off'] [9, 'on'] [10, 'on'] [6, 'off'] [4, 'on'] [11, 'off']	0.43046721	[0, 4, 0, 1, 5, 1, 1]
[1, 'off'] [3, 'off'] [5, 'off'] [9, 'on'] [10, 'on'] [6, 'on'] [5, 'off'] [2, 'off']	0.43046721	[1, 2, 0, 3, 4, 0, 1]
[2, 'off'] [3, 'on'] [5, 'off'] [9, 'on'] [10, 'on'] [6, 'off'] [4, 'on'] [11, 'off']	0.43046721	[2, 2, 0, 3, 4, 1, 0]
[2, 'off'] [3, 'on'] [5, 'off'] [9, 'on'] [10, 'on'] [6, 'on'] [5, 'off'] [2, 'off']	0.43046721	[2, 2, 0, 4, 2, 0, 2]
[8, 'off'] [9, 'off'] [10, 'on'] [6, 'on'] [5, 'off'] [2, 'on'] [3, 'off'] [4, 'on']	0.43046721	[3, 2, 0, 3, 4, 0, 1]
[12, 'off'] [10, 'off'] [6, 'on'] [5, 'off'] [2, 'on'] [3, 'off'] [4, 'off'] [11, 'off']	0.43046721	[4, 2, 0, 4, 2, 0, 2]
[2, 'off'] [3, 'on'] [5, 'off'] [9, 'on'] [10, 'on'] [6, 'off'] [4, 'off']	0.4782969	[0, 0, 0, 3, 3, 0, 1]
[12, 'off'] [10, 'off'] [6, 'on'] [5, 'off'] [2, 'on'] [3, 'off'] [4, 'on']	0.4782969	[1, 2, 0, 2, 4, 1, 0]
[12, 'off'] [10, 'off'] [6, 'on'] [5, 'on'] [9, 'on'] [10, 'off'] [11, 'off']	0.4782969	[3, 0, 0, 3, 3, 0, 1]
[1, 'off'] [3, 'off'] [5, 'off'] [9, 'on'] [10, 'off'] [11, 'off']	0.531441	[1, 0, 0, 1, 4, 0, 1]
[2, 'off'] [3, 'on'] [5, 'off'] [9, 'on'] [10, 'off'] [11, 'off']	0.531441	[1, 2, 0, 1, 4, 1, 0]
[7, 'off'] [6, 'off'] [5, 'off'] [2, 'on'] [3, 'off'] [4, 'on']	0.531441	[1, 2, 0, 2, 3, 0, 1]
[8, 'off'] [9, 'off'] [10, 'on'] [6, 'off'] [4, 'on'] [11, 'off']	0.531441	[2, 0, 0, 2, 2, 0, 2]
[8, 'off'] [9, 'off'] [10, 'on'] [6, 'on'] [5, 'on'] [9, 'off']	0.531441	[2, 0, 0, 3, 3, 0, 0]
[8, 'off'] [9, 'off'] [10, 'on'] [6, 'off'] [4, 'off']	0.59049	[0, 2, 0, 1, 3, 0, 1]
[12, 'off'] [10, 'off'] [6, 'off'] [4, 'on'] [11, 'off']	0.59049	[2, 0, 0, 1, 4, 0, 0]
[12, 'off'] [10, 'off'] [6, 'on'] [5, 'off'] [2, 'off']	0.59049	[2, 2, 0, 1, 3, 0, 1]
[1, 'off'] [3, 'off'] [5, 'off'] [9, 'off']	0.6561	[1, 0, 0, 0, 3, 0, 1]
[1, 'off'] [3, 'off'] [5, 'on'] [2, 'off']	0.6561	[1, 0, 0, 0, 4, 0, 0]
[1, 'off'] [3, 'on'] [4, 'off'] [11, 'off']	0.6561	[1, 0, 0, 1, 3, 0, 0]
[2, 'off'] [3, 'off'] [4, 'off'] [11, 'off']	0.6561	[1, 2, 0, 1, 2, 0, 1]
[2, 'off'] [3, 'on'] [5, 'off'] [9, 'off']	0.6561	[2, 0, 0, 0, 4, 0, 0]
[2, 'off'] [3, 'on'] [5, 'on'] [2, 'off']	0.6561	[2, 2, 0, 0, 2, 0, 2]
[7, 'off'] [6, 'off'] [5, 'off'] [2, 'off']	0.6561	[2, 2, 0, 0, 3, 0, 1]
[7, 'off'] [6, 'off'] [5, 'on'] [9, 'off']	0.6561	[3, 0, 0, 1, 2, 0, 1]
[8, 'off'] [9, 'off'] [10, 'off'] [11, 'off']	0.6561	[3, 2, 0, 1, 2, 0, 1]
[12, 'off'] [10, 'off'] [6, 'off'] [4, 'off']	0.6561	[4, 2, 0, 2, 0, 0, 2]
[2, 'off'] [3, 'off'] [4, 'on']	0.729	[0, 0, 0, 1, 1, 0, 1]
[7, 'off'] [6, 'on'] [4, 'off']	0.729	[1, 0, 0, 1, 2, 0, 0]
[12, 'off'] [10, 'on'] [11, 'off']	0.729	[3, 0, 0, 1, 1, 0, 1]
[8, 'off'] [9, 'on']	0.81	[2, 0, 0, 1, 1, 0, 0]
[1, 'on']	0.9	[0, 0, 1, 1, 0, 0, 0]
[2, 'on']	0.9	[0, 1, 1, 1, 0, 0, 0]
[7, 'on']	0.9	[2, 1, 1, 1, 0, 0, 0]
[8, 'on']	0.9	[4, 0, 0, 0, 0, 1, 0]
[12, 'on']	0.9	[4, 1, 1, 1, 0, 0, 0]
