1	0.99999999	CPSE	[['north','west','on'],['east','west','off'],['east','south','on'],['north','south','off']]	None	None	10	4
2	0.99999999	CPSE	[['east','north','on'],['south','north','off'],['south','west','on'],['east','west','off']]	None	None	9	1
3	0.99999999	CPSE	[['east','north','on'],['south','north','off'],['south','west','on'],['east','west','off']]	east	north	None	2
4	0.99999999	CPSE	[['west','south','on'],['north','south','off'],['north','east','on'],['west','east','off']]	None	None	6	5
5	0.99999999	CPSE	[['south','east','on'],['west','east','off'],['west','north','on'],['south','north','off']]	None	None	12	3
6	0.99999999	CPSE	[['north','south','off'],['west','south','on'],['west','east','off'],['north','east','on']]	west	south	None	7
7	0.99999999	CPSE	[['west','north','on'],['south','north','off'],['south','east','on'],['west','east','off']]	None	None	2	8
8	0.99999999	CPSE	[['south','east','on'],['west','east','off'],['west','north','on'],['south','north','off']]	None	None	12	5
9	0.99999999	PPSE	[['south','north','off'],['north','ejection','on'],['north','south','off'],['south','south','on']]	north	ejection	None	1
10	0.99999999	PPSE	[['injection','west','on'],['east','west','off'],['east','east','on'],['west','east','off']]	injection	west	None	4
11	0.99999999	PPSE	[['south','north','off'],['south','north','on']]	south	None	8	7
12	0.99999999	PPSE	[['west','east','off']]	None	east	None	None

crossing	7	2	4	5
bend	10	4	2
bend	5	12	2
bend	2	9	2
bend	11	7	2
